12274
20171229121236,10.0.0.4,50571,10.0.0.5,5001,3,0.0-1.0,393216,3145728
20171229121237,10.0.0.4,50571,10.0.0.5,5001,3,1.0-2.0,393216,3145728
20171229121239,10.0.0.4,50571,10.0.0.5,5001,3,2.0-3.0,393216,3145728
20171229121239,10.0.0.4,50571,10.0.0.5,5001,3,3.0-4.0,262144,2097152
20171229121241,10.0.0.4,50571,10.0.0.5,5001,3,4.0-5.0,393216,3145728
20171229121241,10.0.0.4,50571,10.0.0.5,5001,3,5.0-6.0,262144,2097152
20171229121243,10.0.0.4,50571,10.0.0.5,5001,3,6.0-7.0,393216,3145728
20171229121244,10.0.0.4,50571,10.0.0.5,5001,3,7.0-8.0,262144,2097152
20171229121245,10.0.0.4,50571,10.0.0.5,5001,3,8.0-9.0,262144,2097152
20171229121245,10.0.0.4,50571,10.0.0.5,5001,3,9.0-10.0,131072,1048576
20171229121247,10.0.0.4,50571,10.0.0.5,5001,3,10.0-11.0,393216,3145728
20171229121247,10.0.0.4,50571,10.0.0.5,5001,3,11.0-12.0,262144,2097152
20171229121248,10.0.0.4,50571,10.0.0.5,5001,3,12.0-13.0,262144,2097152
20171229121249,10.0.0.4,50571,10.0.0.5,5001,3,13.0-14.0,393216,3145728
20171229121250,10.0.0.4,50571,10.0.0.5,5001,3,14.0-15.0,393216,3145728
20171229121251,10.0.0.4,50571,10.0.0.5,5001,3,15.0-16.0,262144,2097152
20171229121252,10.0.0.4,50571,10.0.0.5,5001,3,16.0-17.0,393216,3145728
20171229121253,10.0.0.4,50571,10.0.0.5,5001,3,17.0-18.0,393216,3145728
20171229121254,10.0.0.4,50571,10.0.0.5,5001,3,18.0-19.0,262144,2097152
20171229121255,10.0.0.4,50571,10.0.0.5,5001,3,19.0-20.0,393216,3145728
20171229121256,10.0.0.4,50571,10.0.0.5,5001,3,20.0-21.0,262144,2097152
20171229121257,10.0.0.4,50571,10.0.0.5,5001,3,21.0-22.0,393216,3145728
20171229121258,10.0.0.4,50571,10.0.0.5,5001,3,22.0-23.0,393216,3145728
20171229121300,10.0.0.4,50571,10.0.0.5,5001,3,23.0-24.0,393216,3145728
20171229121300,10.0.0.4,50571,10.0.0.5,5001,3,24.0-25.0,262144,2097152
20171229121301,10.0.0.4,50571,10.0.0.5,5001,3,25.0-26.0,262144,2097152
20171229121302,10.0.0.4,50571,10.0.0.5,5001,3,26.0-27.0,393216,3145728
20171229121303,10.0.0.4,50571,10.0.0.5,5001,3,27.0-28.0,393216,3145728
20171229121304,10.0.0.4,50571,10.0.0.5,5001,3,28.0-29.0,393216,3145728
20171229121305,10.0.0.4,50571,10.0.0.5,5001,3,29.0-30.0,262144,2097152
20171229121305,10.0.0.4,50571,10.0.0.5,5001,3,0.0-30.4,10092544,2656554
