0.120268477 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.122360377 10.0.0.1:47070 10.0.0.3:5001 32 0x596222fc 0x59619b3c 24 2147483647 42496 5
0.123246028 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.124157026 10.0.0.1:47070 10.0.0.3:5001 32 0x59622e4c 0x5961a68c 25 2147483647 42496 6
0.124430666 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.126453788 10.0.0.2:53726 10.0.0.3:5001 32 0x967b0ba9 0x967aa031 22 2147483647 34816 6
0.126917667 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.127606172 10.0.0.2:53726 10.0.0.3:5001 32 0x967b0ba9 0x967aa5d9 23 2147483647 37888 6
0.128083336 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.128799186 10.0.0.2:53726 10.0.0.3:5001 32 0x967b0ba9 0x967aab81 23 2147483647 40960 6
0.129282311 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.131237838 10.0.0.2:53726 10.0.0.3:5001 32 0x967b3341 0x967ab129 23 2147483647 42496 6
0.131724869 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.133651009 10.0.0.2:53726 10.0.0.3:5001 32 0x967b3e91 0x967abc79 24 2147483647 42496 6
0.134128615 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.136184423 10.0.0.2:53726 10.0.0.3:5001 32 0x967b3e91 0x967ac7c9 25 2147483647 42496 6
0.136553872 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.137374227 10.0.0.2:53726 10.0.0.3:5001 32 0x967b3e91 0x967ad319 25 2147483647 45568 6
0.137771866 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.138510983 10.0.0.2:53726 10.0.0.3:5001 32 0x967b3e91 0x967ad8c1 25 2147483647 48128 7
0.139026265 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.139689260 10.0.0.2:53726 10.0.0.3:5001 32 0x967b6bd1 0x967ade69 25 2147483647 51200 7
0.140237844 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.140917937 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967ae411 26 25 54272 7
0.141446479 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.142192334 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967ae9b9 26 25 56832 7
0.142653508 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.143369159 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967aef61 26 25 59904 7
0.143879261 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.144774541 10.0.0.1:47070 10.0.0.3:5001 32 0x59622e4c 0x5961b784 26 25 45568 6
0.145074930 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.146025542 10.0.0.1:47070 10.0.0.3:5001 32 0x59622e4c 0x5961bd2c 26 25 48128 7
0.146295069 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.147231973 10.0.0.1:47070 10.0.0.3:5001 32 0x59622e4c 0x5961c2d4 26 25 51200 7
0.147500226 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.148393346 10.0.0.1:47070 10.0.0.3:5001 32 0x59625b8c 0x5961c87c 26 25 54272 7
0.148711601 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.150648907 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967af509 26 25 62976 7
0.151131929 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.152042737 10.0.0.1:47070 10.0.0.3:5001 32 0x596266dc 0x5961d3cc 26 25 59904 8
0.152351284 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.153306930 10.0.0.1:47070 10.0.0.3:5001 32 0x596266dc 0x5961d974 26 25 62976 8
0.153564341 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.154469023 10.0.0.1:47070 10.0.0.3:5001 32 0x596266dc 0x5961df1c 26 25 65536 8
0.154766318 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.155673165 10.0.0.1:47070 10.0.0.3:5001 32 0x596266dc 0x5961e4c4 26 25 68608 8
0.155992646 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.156938112 10.0.0.1:47070 10.0.0.3:5001 32 0x596266dc 0x5961ea6c 26 25 71680 9
0.157197310 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.159237213 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967afab1 26 25 65536 8
0.159625221 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.160589750 10.0.0.1:47070 10.0.0.3:5001 32 0x596266dc 0x5961f5bc 26 25 77312 9
0.160832597 10.0.0.3:5001 10.0.0.2:53726 1480 0x9587831 0x9587831 10 2147483647 14848 5
0.162921609 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967b0059 26 25 68608 8
0.163251997 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.164057805 10.0.0.2:53726 10.0.0.3:5001 32 0x967b7721 0x967b0601 26 25 71680 9
0.164461266 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
0.165343965 10.0.0.1:47070 10.0.0.3:5001 32 0x5962941c 0x5962010c 26 25 82944 10
0.165669369 10.0.0.3:5001 10.0.0.1:47070 1480 0x4395c42c 0x4395c42c 10 2147483647 14848 4
